date,Filename,frequency,amount,vgender,vhonor,emo_sim,bvtextsim,bvemosim,livetype,timeslot,bgender,numberviewers,numberlikes,wordcount,danmu_num
0909_11-14,0909_01_06,3,3,0.956521739,6.712820513,0.579902043,0.431806362,0.5285665,1,0,0,339.6666667,153,676,40
0909_11-14,0909_01_07,2,2,0.69047619,9.386138614,0.616621526,0.497666067,0.572308,1,0,0,327.3333333,84,442,16
0909_11-14,0909_01_08,5,5,0.653061224,7.829268293,0.502430745,0.428869909,0.71724435,1,0,0,337.6666667,226,545,18
0909_11-14,0909_01_09,2,2,0.95,5.62,0.688132343,0.446164346,0.7778211,1,0,0,347,205,538,42
0909_11-14,0909_01_10,0,0,1,6.32278481,0.524323389,0.494516915,0.68143086,1,0,0,315.6666667,123,688,48
0909_11-14,0909_01_11,3,3,0.73015873,8.205882353,0.614480603,0.362661457,0.4481687,1,0,0,291.6666667,171,590,42
0909_11-14,0909_01_12,5,5,0.666666667,14.85507246,0.518708081,0.441481417,0.53877974,1,0,0,235,176,522,36
0909_11-14,0909_01_13,12,12,0.911764706,11.90322581,0.538752981,0.542665368,0.46086377,1,0,0,211.6666667,24,728,34
0909_11-14,0909_01_14,1,1,0.894736842,11.14814815,0.472895275,0.64976058,0.4650108,1,0,0,188.3333333,99,794,78
0909_11-14,0909_01_15,2,2,0.855769231,14.45263158,0.526537181,0.444884545,0.6306006,1,0,0,177,102,776,22
0909_11-14,0909_01_16,0,0,0.130952381,11.02564103,0.552768694,0.409744716,0.5452906,1,0,0,175.6666667,84,532,20
0909_11-14,0909_01_17,6,6,0.206896552,12.61538462,0.415931544,0.546079344,0.46923513,1,0,0,167.3333333,28,593,19
0909_11-14,0909_01_18,0,0,0.142857143,9.631578947,0.488140664,0.381064034,0.40240964,1,0,0,161,33,531,17
0909_11-14,0909_01_19,0,0,0.111111111,5.607843137,0.563826339,0.397854632,0.53156,1,0,0,125,44,716,16
0909_11-14,0909_01_20,0,0,0,7,0.593237683,0.591910905,0.68962425,1,0,0,90,28,760,8
0909_11-14,0909_01_21,2,2,0.115384615,10.375,0.487984469,0.505807376,0.3509836,1,0,0,71.33333333,26,834,6
0909_11-14,0909_01_22,3,3,1,6.304347826,0.562784353,0.522439069,0.6400898,1,0,0,59,15,823,8
0909_11-14,0909_01_23,0,0,,8.666666667,0.570672838,0.527019209,0.52585065,1,0,0,56,0,792,7
0909_11-14,0909_01_24,0,0,1,10.85714286,0.530021143,0.542964375,0.5033704,1,0,0,48.33333333,2,718,8
0909_11-14,0909_01_25,2,2,1,8.333333333,0.675191148,0.621395087,0.6771843,1,0,0,41.33333333,0,746,3
0909_11-14,0909_01_26,0,0,1,16.5,0.759738806,0.500493562,0.4238548,1,0,0,43.66666667,0,816,3
0909_11-14,0909_01_27,0,0,0.75,5,0.708657903,0.549434966,0.48389364,1,0,0,38.33333333,1,772,6
0909_11-14,0909_01_28,0,0,,7,0.794124329,0.455612278,0.32567606,1,0,0,36.33333333,0,805,5
0909_11-14,0909_01_29,0,0,1,13.4,0.352210845,0.530511951,0.47871137,1,0,0,36,24,475,3
0909_11-14,0909_09_00,36,9643,0.507462687,19.09090909,0.477346985,0.384022593,0.58142847,0,0,1,4805,3,978,30
0909_11-14,0909_09_01,1107,273533,0.638584974,16.19226676,0.79523887,0.715573883,0.8047406,0,0,1,4808.666667,257,929,1439
0909_11-14,0909_09_02,782,252131,0.723109244,15.36506024,0.72975745,0.607144964,0.90356046,0,0,1,4881,244,955,1437
0909_11-14,0909_09_03,677,275971,0.726953468,16.24309623,0.601686558,0.739690965,0.8426783,0,0,1,4998,276,959,1434
0909_11-14,0909_09_04,742,299808,0.669230769,15.8549263,0.636808261,0.671639693,0.87799376,0,0,1,5028,331,925,1441
0909_11-14,0909_09_05,732,335395,0.725959554,15.64780372,0.682827196,0.697571135,0.9576748,0,0,1,5086,350,975,1436
0909_11-14,0909_09_06,748,83746,0.749460043,14.60570535,0.736247949,0.729077405,0.7153824,0,0,1,5120.666667,331,945,1429
0909_11-14,0909_09_07,737,35389,0.721370604,15.9187222,0.615514974,0.681573367,0.9462381,0,0,1,5036.666667,265,984,1440
0909_11-14,0909_09_08,844,28893,0.735527359,15.78192681,0.693231835,0.625988048,0.812186,0,0,1,4975,374,863,1439
0909_11-14,0909_09_09,771,33214,0.696624644,16.00502513,0.742637022,0.655908418,0.81265186,0,0,1,4725,374,946,1439
0909_11-14,0909_09_10,760,64421,0.67554281,16.2810559,0.788478211,0.709286463,0.7600361,0,0,1,4592,397,950,1425
0909_11-14,0909_09_11,597,19715,0.693592058,15.6404154,0.612202868,0.703929377,0.92510897,0,0,1,4586.666667,330,968,1410
0909_11-14,0909_09_12,604,22925,0.708733425,16.6843467,0.773432019,0.620304775,0.84912344,0,0,1,4568.666667,293,994,1410
0909_11-14,0909_09_13,625,10771,0.71942446,15.17831729,0.627148652,0.705616093,0.7283579,0,0,1,4515.333333,325,986,1423
0909_11-14,0909_09_14,513,17654,0.710772258,15.78690745,0.656357314,0.749376988,0.93783796,0,0,1,4483.333333,301,639,1416
0911_11-14,0911_03_00,19,19,0.347826087,10.34615385,0.486871932,0.51485849,0.8753737,1,0,0,7140,102,854,50
0911_11-14,0911_08_00,12,12,0.485714286,10.49655172,0.296290978,0.423352307,0.6111872,1,0,0,428.3333333,136,704,6
0911_11-14,0911_08_01,40,56,0.506024096,11.16666667,0.367383506,0.49672631,0.7789615,1,0,0,466.3333333,261,765,29
0911_11-14,0911_08_02,21,33,0.791666667,11.58378378,0.404191917,0.425255036,0.6946962,1,0,0,515.3333333,125,817,39
0911_11-14,0911_08_03,3,5,0.866666667,12.525,0.427669704,0.377345121,0.4660447,1,0,0,538,56,782,18
0911_11-14,0911_08_04,9,9,0.125,10.4375,0.3851864,0.473676956,0.45679593,1,0,0,568,36,767,5
0911_11-14,0911_08_07,5,5,0.9,9.153333333,0.262750031,0.464591688,0.5106061,1,0,0,588.3333333,134,708,12
0911_11-14,0911_08_08,11,27,0.633333333,10.20588235,0.420730207,0.526284134,0.7744727,1,0,0,597.6666667,54,517,34
0911_11-14,0911_08_09,13,13,0.941176471,11.68852459,0.382771665,0.552689856,0.34072254,1,0,0,643,31,771,17
0911_11-14,0911_08_10,5,5,0.551724138,6.934579439,0.297078415,0.408511019,0.5603881,1,0,0,613.6666667,96,737,6
